epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,20425,1.2379,0.74154,0.98729,0.65882,0.4575,0.51166,0.30431,1.73683,1.41951,1.24833,0.005842,0.005842,0.005842
128,20589.8,1.23949,0.74287,0.9867,0.65592,0.4589,0.5119,0.30439,1.73702,1.41995,1.24813,0.005809,0.005809,0.005809
129,20753.9,1.24074,0.7428,0.9853,0.65689,0.45872,0.51188,0.30419,1.73655,1.42133,1.24773,0.005776,0.005776,0.005776
130,20914.1,1.23397,0.7374,0.98595,0.65717,0.45827,0.51204,0.30416,1.73633,1.42252,1.24741,0.005743,0.005743,0.005743
131,21074,1.23659,0.73902,0.9857,0.6535,0.45951,0.51184,0.30404,1.73609,1.42352,1.2471,0.00571,0.00571,0.00571
132,21233.8,1.24144,0.74336,0.98692,0.65015,0.46003,0.51189,0.30395,1.73612,1.42451,1.24703,0.005677,0.005677,0.005677
133,21393.4,1.23625,0.74122,0.98593,0.65021,0.45884,0.51197,0.30404,1.73639,1.42565,1.24697,0.005644,0.005644,0.005644
134,21551.7,1.2315,0.73637,0.9831,0.64978,0.45915,0.51178,0.30397,1.73679,1.42714,1.24706,0.005611,0.005611,0.005611
135,21714.9,1.23107,0.73368,0.98349,0.65037,0.45954,0.51166,0.30404,1.73665,1.42767,1.24694,0.005578,0.005578,0.005578
136,21875.8,1.23465,0.73612,0.98439,0.6538,0.45783,0.51176,0.30396,1.73681,1.42732,1.24687,0.005545,0.005545,0.005545
137,22036.6,1.23887,0.73769,0.98488,0.6507,0.45878,0.51197,0.30409,1.73649,1.4276,1.24668,0.005512,0.005512,0.005512
138,22196.7,1.23252,0.73682,0.98419,0.65236,0.45781,0.51219,0.30424,1.73688,1.42813,1.24665,0.005479,0.005479,0.005479
139,22355.7,1.23271,0.73272,0.98383,0.6533,0.45721,0.51217,0.30411,1.73747,1.42931,1.24679,0.005446,0.005446,0.005446
140,22516,1.23079,0.73373,0.98331,0.65172,0.45715,0.51248,0.30417,1.73732,1.43067,1.24667,0.005413,0.005413,0.005413
141,22676.5,1.23525,0.73624,0.98183,0.65069,0.45784,0.51259,0.30438,1.73686,1.43181,1.24629,0.00538,0.00538,0.00538
142,22837.8,1.23278,0.7328,0.98367,0.65187,0.45759,0.513,0.30428,1.73644,1.43259,1.2458,0.005347,0.005347,0.005347
143,23004.4,1.22981,0.73309,0.98255,0.65038,0.45835,0.51333,0.30435,1.73575,1.43203,1.24513,0.005314,0.005314,0.005314
144,23163.5,1.22786,0.72924,0.98151,0.64913,0.45881,0.51335,0.30441,1.7354,1.43257,1.24478,0.005281,0.005281,0.005281
145,23322.6,1.22709,0.7298,0.98079,0.64946,0.45888,0.51343,0.30441,1.73597,1.43396,1.24473,0.005248,0.005248,0.005248
